,Author,Title,State,District,Description,DateBan
2045,"Perkins, Stephanie",There's Someone Inside Your House,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2046,"Perkins, Stephanie",Anna and the French Kiss,Florida,Escambia County Public Schools,"Anna and the French Kiss, Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2047,"Perkins, Stephanie",Isla and the Happily Ever After,Florida,Escambia County Public Schools,"Anna and the French Kiss, Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2048,"Perry, Bruce",Malcolm: The Life of a Man Who Changed Black America,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2049,"Pfeffer, Susan Beth",Life As We Knew It,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2050,"Pfeffer, Susan Beth",The Dead and the Gone,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2051,"Pfeffer, Susan Beth",This World We Live In,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2052,"Philbrick, Rodman",Freak the Mighty,Florida,Escambia County Public Schools,"Freak The Mighty, Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2053,"Philip, Neil",Mythology (Eyewitness),Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2054,"Philip, Neil",Mythology of the World,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2055,"Philippe, Ben",The Field Guide to the North American Teenager,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2056,"Picknett, Lynn",The Templar Revelation: Secret Guardians of the True Identity of Christ,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2057,"Picoult, Jodi",Nineteen Minutes,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2058,"Picoult, Jodi",Plain Truth,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2059,"Picoult, Jodi",Vanishing Acts,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2060,"Picoult, Jodi",Between the Lines,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2061,"Pierce, Tamora",Mastiff,Florida,Escambia County Public Schools,"Beka Cooper, Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2062,"Pierce, Tamora.",Bloodhound,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2063,"Pike, Aprilynne",Life After Theft,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2064,"Pinborough, Sarah",13 Minutes,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2065,"Plath, Sylvia",The Bell Jar,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2066,"Pomplun, Tom",Robert Louis Stevenson,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2067,"Ponti, James",Dark Days,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2068,"Ponti, James",Dead City,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2069,"Pool, Katy Rose",There Will Come a Darkness,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2070,"Portman, Frank",King Dork,Florida,Escambia County Public Schools,"King Dork, Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2071,"Positano, Rock G.",Dinner with Dimaggio: Memories of an American Hero,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2072,"Pride, Felicia",Hallway Diaries,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2073,"Proulx, Annie",Close Range: Wyoming Stories,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2074,"Proust, Marcel",The Past Recaptured,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2075,"Quick, Matthew",Boy 21,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2076,"Quick, Matthew","Forgive Me, Leonard Peacock",Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2077,"Quindlen, Anna",Black and Blue,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2078,"Radtke, Kristen",Seek You: A Journey Through American Loneliness,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2079,"Rainfield, Cheryl",Scars,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2080,"Ramirez, David",The Forever Watch,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2081,"Rand, Ayn",Atlas Shrugged,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2082,"Rand, Ayn",The Fountainhead,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2083,"Rapp, Adam",Punkzilla,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2084,"Reed, Amy",Beautiful,Florida,Escambia County Public Schools,"Still in Process, Response to HB1069, https://docs.google.com/spreadsheets/d/1dwSpSRyR1ejSLC5OBj3qzO8xQRgydTcImmbjNZysEuM/edit?usp=sharing",2023-12-01
2085,"Maas, Sarah J.",A Court of Thorns and Roses,Florida,Hernando County Schools,"A Court of Thorns and Roses, Still in Process, Committee recommends KEEP, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections",2024-3-01
2086,"McCarthy, Cory",Man o' War,Florida,Hernando County Schools,"Still in Process, Committee recommends REMOVE, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections",2024-3-01
2087,"Arnold, Elana K.",Red Hood,Florida,Hernando County Schools,"Still in Process, Committee recommends REMOVE, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-3-01
2088,"Cast, P. C.",Chosen,Florida,Hernando County Schools,"House of Night, Still in Process, Committee Recommends KEEP HS; No Response MS, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-3-01
2089,"Sones, Sonya",The Opposite of Innocent,Florida,Hernando County Schools,"Still in Process, Committee No Recommendation, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections",2024-4-01
2090,"Lyga, Barry",Boy Toy,Florida,Hernando County Schools,"Still in Process, Committee recommends REMOVE, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections",2024-3-01
2091,"Green, John",Looking for Alaska,Pennsylvania,Blackhawk School District,"Still in Process, 10/23 School board changes policy - and complains about some of the books. Superintendent removes books. After community pushback, reverse policy. Books now on shelves in review., https://www.timesonline.com/story/news/education/2023/10/15/blackhawk-schools-latest-district-to-consider-book-banning-beaver-county/71167725007/, https://www.post-gazette.com/news/education/2023/12/14/blackhawk-school-district-library-books/stories/202312140133",2023-10-01
2092,"McCormick, Patricia",Sold,Pennsylvania,Blackhawk School District,"Still in Process, 10/23 School board changes policy - and complains about some of the books. Superintendent removes books. After community pushback, reverse policy. Books now on shelves in review., https://www.timesonline.com/story/news/education/2023/10/15/blackhawk-schools-latest-district-to-consider-book-banning-beaver-county/71167725007/, https://www.post-gazette.com/news/education/2023/12/14/blackhawk-school-district-library-books/stories/202312140133",2023-10-01
2093,"Pérez, Ashley Hope",Out of Darkness,Pennsylvania,Blackhawk School District,"Still in Process, 10/23 School board changes policy - and complains about some of the books. Superintendent removes books. After community pushback, reverse policy. Books now on shelves in review., https://www.timesonline.com/story/news/education/2023/10/15/blackhawk-schools-latest-district-to-consider-book-banning-beaver-county/71167725007/, https://www.post-gazette.com/news/education/2023/12/14/blackhawk-school-district-library-books/stories/202312140133",2023-10-01
2094,"Picoult, Jodi",Nineteen Minutes,Pennsylvania,Blackhawk School District,"Still in Process, 10/23 School board changes policy - and complains about some of the books. Superintendent removes books. After community pushback, reverse policy. Books now on shelves in review., https://www.timesonline.com/story/news/education/2023/10/15/blackhawk-schools-latest-district-to-consider-book-banning-beaver-county/71167725007/, https://www.post-gazette.com/news/education/2023/12/14/blackhawk-school-district-library-books/stories/202312140133",2023-10-01
2095,"Reynolds, Jason","Stamped (For Kids): Racism, Antiracism, and You",Pennsylvania,Blackhawk School District,"Still in Process, 10/23 School board changes policy - and complains about some of the books. Superintendent removes books. After community pushback, reverse policy. Books now on shelves in review., https://www.timesonline.com/story/news/education/2023/10/15/blackhawk-schools-latest-district-to-consider-book-banning-beaver-county/71167725007/, https://www.post-gazette.com/news/education/2023/12/14/blackhawk-school-district-library-books/stories/202312140133",2023-10-01
2096,"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,North Carolina,Catawba County Schools,"Retained/Restricted, Current board member made both original complaints. Book review committee said that both books should stay, board member appealed vote to board and Out Darkness - banned; Beyond Magenta, retained., Parental permission ONLY",2023-11-01
2097,"Maas, Sarah J.",A Court of Mist and Fury,North Carolina,Catawba County Schools,"Banned/Removed, Current board member made both original complaints. Book review committee said that both books should stay, board member appealed vote to board and Out Darkness - banned; Beyond Magenta, retained.",2023-9-01
2098,"Maas, Sarah J.",A Court of Thorns and Roses,North Carolina,Catawba County Schools,"Banned/Removed, Current board member made both original complaints. Book review committee said that both books should stay, board member appealed vote to board and Out Darkness - banned; Beyond Magenta, retained.",2023-11-01
2099,"Nabokov, Vladimir",Lolita,North Carolina,Catawba County Schools,"Retained/Restricted, Current board member made both original complaints. Book review committee said that both books should stay, board member appealed vote to board and Out Darkness - banned; Beyond Magenta, retained., Parental permission ONLY",2023-11-01
2100,"Maas, Sarah J.",Empire of Storms,Maryland,Frederick County Public Schools,"Retained/Restricted, https://www.wfmd.com/2023/12/08/recommendations-from-reconsideration-committee-released/",2023-12-01
2101,"Albertalli, Becky",Leah on the Offbeat,Oregon,"Helix, Helix Charter School","Simonverse, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2102,"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Oregon,"Helix, Helix Charter School","Simonverse, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2103,"Callender, Kacen",This Is Kind of an Epic Love Story,Oregon,"Helix, Helix Charter School","Banned/Removed, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2104,"Green, John","Will Grayson, Will Grayson",Oregon,"Helix, Helix Charter School","Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2105,"Hennessey, M. G.",The Other Boy,Oregon,"Helix, Helix Charter School","Retained, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2106,"Johnson, Cathy G.",The Breakaways,Oregon,"Helix, Helix Charter School","Retained, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2107,"Lukoff, Kyle",Too Bright to See,Oregon,"Helix, Helix Charter School","Retained, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2108,"Ngan, Natasha",Girls of Paper and Fire,Oregon,"Helix, Helix Charter School","Girls of Paper and Fire, Retained, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2109,"Oseman, Alice","Heartstopper, Vol. 1",Oregon,"Helix, Helix Charter School","Heartstopper, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2110,"Oseman, Alice","Heartstopper, Vol. 2",Oregon,"Helix, Helix Charter School","Heartstopper, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2111,"Oseman, Alice","Heartstopper, Vol. 3",Oregon,"Helix, Helix Charter School","Heartstopper, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2112,"Oseman, Alice","Heartstopper, Vol. 4",Oregon,"Helix, Helix Charter School","Heartstopper, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2113,"Oshiro, Mark",Anger Is a Gift,Oregon,"Helix, Helix Charter School","Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2114,"Terciero, Rey","Meg, Jo, Beth, and Amy: A Modern Graphic Retelling of Little Women",Oregon,"Helix, Helix Charter School","Retained, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2115,"Thomas, Aiden",Cemetery Boys,Oregon,"Helix, Helix Charter School","Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2116,"Wang, Jen",The Prince and the Dressmaker,Oregon,"Helix, Helix Charter School","Retained, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2117,"Quindlen, Kelly",She Drives Me Crazy,Oregon,"Helix, Helix Charter School","Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2118,"Herman, C.L.",The Drowning Summer,Oregon,"Helix, Helix Charter School","Simonverse
Simonverse





Girls of Paper and Fire
Heartstopper
Heartstopper
Heartstopper
Heartstopper





The Devouring Gray, Retained/Restricted, In classroom - complaints all related to LGBTQ+ content. Evaluated on age ratings and language., Restricted to HS, https://www.eastoregonian.com/news/local/lgbtq-books-were-challenged-and-beaten-at-helix/article_547f9256-781c-11ee-9631-434558b763fe.html",2023-11-01
2119,"Andrews, Jesse",Me and Earl and the Dying Girl,Pennsylvania,"Translyvania, Transylvania County Schools","Retained, Challenges filed by M4L member., https://www.transylvaniatimes.com/education/local-parents-file-complaints-for-six-books-on-school-shelves/article_1f57b45e-072e-11ef-af99-1fdb8c39ef6e.html",2024-5-01
2120,"Armentrout, Jennifer L.",Storm and Fury,Texas,Fort Bend ISD,"Still in Process, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2121,"Arnold, Elana K.",What Girls Are Made Of,Texas,Fort Bend ISD,"Banned/Removed, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2122,"Atwood, Margaret",The Handmaid's Tale,Texas,Fort Bend ISD,"Retained, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2123,"Atwood, Margaret",Oryx and Crake,Texas,Fort Bend ISD,"Banned/Removed, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2124,"Atwood, Margaret",The Year of the Flood,Texas,Fort Bend ISD,"Weeded/Deselected, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2125,"Hopkins, Ellen",Burned (EH),Texas,Fort Bend ISD,"Retained, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2126,"Hopkins, Ellen",Crank,Texas,Fort Bend ISD,"Banned/Removed, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2127,"Hopkins, Ellen",Fallout,Texas,Fort Bend ISD,"Banned/Removed, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2128,"Hopkins, Ellen",Glass,Texas,Fort Bend ISD,"Retained, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2129,"Hopkins, Ellen",Identical,Texas,Fort Bend ISD,"Banned/Removed, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2130,"Hopkins, Ellen",Impulse,Texas,Fort Bend ISD,"Still in Process, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2131,"Hopkins, Ellen",People Kill People,Texas,Fort Bend ISD,"Retained, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2132,"Hopkins, Ellen",Perfect,Texas,Fort Bend ISD,"Still in Process, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2133,"Hopkins, Ellen",Rumble,Texas,Fort Bend ISD,"Still in Process, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2134,"Hopkins, Ellen",Smoke,Texas,Fort Bend ISD,"Retained, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2135,"Hopkins, Ellen",Tilt,Texas,Fort Bend ISD,"Still in Process, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2136,"Hopkins, Ellen",Traffick,Texas,Fort Bend ISD,"Banned/Removed, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
2137,"Hopkins, Ellen",Triangles,Texas,Fort Bend ISD,"Weeded/Deselected, A news station requested documents on challenges and discovered they were all submitted by 1 person Fort Bend ISD Board Member., https://abc13.com/post/fort-bend-isd-library-book-ban-board-member-challenge-texas-schools/14888231/, https://www.fortbendisd.com/Page/169371",2024-4-01
